CODE,LOCATION,TYPE,RATING (MAX = 5),Address,Description,Long Description,Ticket Info,image_path,open_time,close_time,coordinate
AC011,TTC Hotel - Airport,Accomodation,3.9,"202 Hoang Van Thu Street, Ward 9, Phu Nhuan District, Ho Chi Minh City",Comfortable rooms near the airport for business travelers.,"TTC Hotel - Airport offers affordability, comfort, and proximity to the airport. Rooms are bright, spacious, and include modern amenities. The staff provide warm hospitality and useful services like luggage storage and airport transfers. On-site dining covers both Vietnamese and international tastes. The atmosphere remains quiet despite the central location. It's also close to local cafes and shopping spots. Ideal for a comfortable and convenient layover experience.","~₫1,500,000–₫1,800,000/night (approx. $61–$73)",img/ttc-hotel.jpg,9:00,22:00,"10.800652581290423, 106.66168281238136"
EN001,Suoi Tien Theme Park,Entertainment,3.9,"120 Hanoi Highway, Tan Phu Ward, Thu Duc City, Ho Chi Minh City",A vibrant amusement park with family-friendly attractions.,"Suoi Tien Theme Park is a whimsical, mythology-inspired park in Thu Duc City. It features vibrant statues, spiritual zones, and cultural stories throughout. Attractions include water rides, a beach, temples, and kid-friendly zones like the Fairy Castle. Educational exhibits add depth beyond amusement. The park comes alive during holidays like Tet with festive shows. Bonsai gardens and surreal architecture add to the magical charm. It’s a fun and culturally rich outing for all ages.","~₫120,000/adult, ~₫80,000/child",img/suoi-tien.jpg,8:00,17:00,"10.866201554204098, 106.80316714763133"
EN002,Dam Sen Park,Entertainment,4.4,"3 Hoa Binh Street, Ward 3, District 11, Ho Chi Minh City",A popular theme park with water rides and gardens.,"Dam Sen Cultural Park mixes traditional amusement rides with cultural and botanical beauty. Split into dry and water park zones, it caters to various interests. Visitors can enjoy swan boats, wave pools, gardens, and landmark replicas. A Roman-style stage hosts regular performances. Though slightly dated, it retains nostalgic charm and local popularity. Street food adds a flavorful, casual touch. It’s a cheerful escape reflecting Saigon’s lively spirit.","~₫180,000/adult",img/dam-sen.jpg,8:00,17:00,"10.766112351874305, 106.64189326571174"
EN003,Amazing Bay,Entertainment,4.4,"189 Nguyen Van Linh Street, Tan Thuan Tay Ward, District 7, Ho Chi Minh City",An exciting water park perfect for family fun.,"Amazing Bay is a vibrant waterpark just outside Ho Chi Minh City, perfect for cooling off and having fun. It features one of Southeast Asia’s largest wave pools, along with thrilling water slides, splash zones, and lazy rivers. The tropical-themed design creates a resort-like atmosphere with modern, clean facilities. Families love the shaded lounges and wide range of attractions for all ages. Safety and cleanliness are consistently praised by visitors. On-site cafés and food courts make it easy to spend the whole day there. Whether you're seeking excitement or relaxation, Amazing Bay delivers a refreshing escape.",Prices vary; refer to official site for details,img/amazing-bay.jpg,9:00,18:00,"10.877317901664275, 106.87180222073606"
EN004,Nguyen Hue Walking Street,Entertainment,4.7,"Nguyen Hue Street, Ben Nghe Ward, District 1, Ho Chi Minh City",A lively pedestrian street with shops and cafes.,"Nguyen Hue Walking Street is a lively pedestrian boulevard in the heart of Saigon, stretching from the river to City Hall. It’s a popular hangout for locals and tourists alike, especially in the evenings when the lights and fountains come alive. During the day, the area is framed by colonial buildings and trendy cafes. Street performers, vendors, and public events make it feel festive year-round. The iconic “Cafe Apartment” offers a quirky collection of cafés with great views. It’s safe, clean, and ideal for strolling or people-watching. This street captures the vibrant energy of modern Ho Chi Minh City.",Free to visit; costs depend on personal spending,img/pho-di-bo-nguyen-hue.jpg,0:00,23:59,"10.774081444635982, 106.70365374783108"
EN005,Landmark 81,Entertainment,4.4,"720A Dien Bien Phu Street, Ward 22, Binh Thanh District, Ho Chi Minh City","Vietnam’s tallest building with shops, restaurants, and a sky deck.","Landmark 81 is Vietnam’s tallest skyscraper, soaring above Ho Chi Minh City in the upscale Vinhomes Central Park area. It stands at 461.2 meters and houses luxury apartments, shops, restaurants, and a five-star hotel. The SkyView Observatory provides breathtaking views of the city and Saigon River. Inside, visitors can enjoy world-class shopping, dining, and even an indoor ice rink. The tower glows beautifully at night and is a striking addition to the skyline. Outside, landscaped parks and riverside paths offer a tranquil contrast. Landmark 81 represents the city’s rapid development and modern aspirations.","Observation deck: ~₫200,000",img/landmark-81.jpg,9:00,22:00,"10.795125935851562, 106.72209500604045"
EN006,23/9 Park,Entertainment,4.2,"Pham Ngu Lao Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",A green park ideal for relaxing in downtown Saigon.,"23/9 Park is a peaceful green space nestled in District 1, offering a calm contrast to the urban bustle. Formerly a train station site, it now hosts morning tai chi, evening strolls, and casual gatherings. Its location along Pham Ngu Lao makes it especially popular with backpackers and locals. Shady trees, benches, and open lawns create a welcoming environment for relaxation. Events like street performances, festivals, and night markets often take place here. The park is ideal for a coffee break, picnic, or bit of people-watching. Though modest, it’s an essential part of Saigon’s daily rhythm.",Free,img/cong-vien-23-9.webp,0:00,23:59,"10.76872651216932, 106.69233930003966"
EN007,Saigon River Tour,Entertainment,5.0,"Bach Dang Wharf, Ton Duc Thang Street, District 1, Ho Chi Minh City",A scenic boat tour showcasing Saigon’s beauty.,"A Saigon River tour offers a scenic and refreshing way to explore the city from a new perspective. The journey passes colonial buildings, modern towers, and quiet riverside communities. Tour options include quick daytime rides, elegant sunset cruises, or romantic dinner experiences. Some excursions visit cultural sites like pagodas, fishing villages, or even the Cu Chi Tunnels. Onboard entertainment can include traditional music and local cuisine. The gentle flow of the river provides a peaceful escape from city traffic. It’s a memorable experience that blends relaxation with discovery.","~₫200,000–₫500,000/person (approx. $8–$20)",img/tour-song-sai-gon.jpg,9:00,18:00,"10.775147854572639, 106.7070956598377"
EN008,Snow Town Saigon,Entertainment,3.3,"125 Dong Van Cong Street, Thanh My Loi Ward, Thu Duc City, Ho Chi Minh City",An indoor snow playground for kids and families.,"Snow Town Saigon offers a rare winter experience in tropical Ho Chi Minh City with real indoor snow. Located in District 2, it’s ideal for sledding, snowball fights, and building snowmen. The chilly environment provides a refreshing contrast to the city’s heat. Seasonal events and themed activities keep things exciting throughout the year. Beyond snow play, the park includes VR games, play zones, and a cozy food court. The festive, colorful decor makes it fun for both kids and adults. It’s a unique and family-friendly destination for frosty fun in the city.","~₫200,000–₫300,000/adult",img/snow-town.jpeg,9:00,21:00,"10.773991902805927, 106.76294774491438"
EN009,Vietopia,Entertainment,3.8,"2-4 Street No. 9, Tan Hung Ward, District 7, Ho Chi Minh City",A miniature city where kids can role-play real jobs.,"Vietopia is an imaginative indoor city where kids can try out adult careers through role-playing. Children explore jobs like doctor, firefighter, chef, or pilot in detailed, miniaturized settings. It’s both fun and educational, teaching life skills like teamwork and responsibility. The environment is clean, safe, and well-organized, with a café area for parents. Seasonal events and rotating activities keep the experience fresh. Located in District 7, it’s easy to reach for a full day of adventure. Vietopia is perfect for curious young minds eager to explore and learn through play.","~₫200,000–₫300,000/child",img/vietopia.jpg,9:00,18:00,"10.741661961117439, 106.69504671727312"
EN010,tiNiWorld,Entertainment,3.9,Various locations across Ho Chi Minh City,A colorful indoor playground for young children.,"tiNiWorld is a colorful and engaging play center designed for young children. It offers a mix of creative, educational, and physical activities across various themed zones. Kids can climb, craft, pretend, or join group games in a safe, supervised environment. Locations across Ho Chi Minh City make it accessible and convenient for families. Special events, holiday themes, and workshops ensure every visit feels new. Parents appreciate the clean facilities and thoughtful layout. It’s a favorite destination for birthdays, playdates, or just a fun afternoon out.","~₫150,000–₫250,000/child",img/tiniworld.jpg,9:00,21:00,"10.741629368481187, 106.70003328032978"
EN011,HCMC Opera House (HBSO),Entertainment,4.5,"7 Lam Son Square, Ben Nghe Ward, District 1, Ho Chi Minh City",The city's leading venue for classical music and ballet.,"The Ho Chi Minh City Opera House is a stunning colonial-era building showcasing French architectural elegance. Built in 1897, it features ornate carvings, grand arches, and a luxurious interior. The venue hosts performances ranging from classical ballet and opera to modern music and theater. Guided tours reveal its rich history and artistic detail. At night, its beautifully lit façade adds charm to the city center. Located in District 1, it’s a cultural gem that feels like stepping back in time. Attending a show here offers both aesthetic beauty and artistic enrichment.","~₫200,000–₫500,000/ticket",img/opera-house.jpg,9:00,18:00,"10.776376283814278, 106.70362148854065"
EN012,Chill Sky Bar,Entertainment,3.8,"76A Le Lai Street, Ben Thanh Ward, District 1, Ho Chi Minh City",A trendy rooftop bar with stunning city views.,"Chill Sky Bar is a high-end rooftop destination perched atop the AB Tower in central Saigon. Known for its panoramic city views, it’s a go-to spot for evening cocktails and vibrant nightlife. The sleek design, live DJs, and lively crowd create an upscale party vibe. A curated menu of drinks and gourmet bites elevates the experience. A smart dress code adds a touch of sophistication. As night falls, the city lights and skyline become part of the show. It’s one of the top places to celebrate, unwind, or soak up the city’s nightlife energy.","Entry fee: ~₫200,000; drinks from ~₫150,000",img/chill-sky-bar.jpg,17:00,2:00,"10.770701807138016, 106.69479612162537"
EN013,Bui Vien Street,Entertainment,4.1,"Bui Vien Street, Pham Ngu Lao Ward, District 1, Ho Chi Minh City",A famous nightlife street bustling with bars and clubs.,"Bui Vien Street is Ho Chi Minh City’s epicenter for nightlife and backpacker culture. Located in District 1, it buzzes with neon lights, music, and non-stop activity after dark. Bars, clubs, street food, and performers line the vibrant stretch. It’s a place to meet fellow travelers, grab a cheap drink, or enjoy Vietnamese street eats. The energy is wild and spontaneous, though it’s wise to stay alert in the crowds. Despite the chaos, it’s also great for people-watching and soaking up the city’s youthful pulse. A night here offers an unfiltered taste of Saigon’s nightlife.",Free to visit; costs depend on personal spending,img/bui-vien-street.jpg,0:00,23:59,"10.767123368381679, 106.69362013086958"
EN014,Club V E-Gaming,Entertainment,4.0,"147 Ton That Dam Street, Ben Nghe Ward, District 1, Ho Chi Minh City",A premium e-gaming center with the latest tech.,"Club V E-Gaming is a stylish gaming lounge offering high-energy entertainment in central Saigon. It features an array of electronic games and slot machines in a sleek, modern setting. The ambiance is vibrant yet refined, with attentive staff enhancing the guest experience. Complimentary snacks and drinks add to the comfort. It’s located within a hotel complex, making it accessible for travelers. The space balances fun with professionalism, ensuring a safe and enjoyable visit. Whether you're into gaming or just want a fun night out, Club V offers excitement in a polished atmosphere.",Entry fee varies; refer to official site for details,img/club-v-e-gaming.jpg,9:00,22:00,"10.764533670376887, 106.69227026765184"
EN015,Monte-Carlo Saigon,Entertainment,3.8,"29 Le Thanh Ton Street, Ben Nghe Ward, District 1, Ho Chi Minh City",A stylish casino and lounge for entertainment lovers.,"Monte-Carlo Saigon brings the high-end glamour of European casinos to Ho Chi Minh City. Located inside the elegant Hotel Grand Saigon, it offers a premium experience with various gaming options, including baccarat, blackjack, and roulette. The luxurious decor features plush furnishings and a refined atmosphere that exudes sophistication. VIP rooms provide an exclusive gaming experience with personalized service. In addition to the tables, guests can enjoy fine wines, cocktails, and gourmet snacks. The venue strikes a perfect balance of excitement and elegance, catering to both casual players and high rollers. For a night of refined entertainment, Monte-Carlo Saigon offers an unforgettable experience.",Entry fee varies; refer to official site for details,img/monte-carlo.jpeg,9:00,22:00,"10.778043503790029, 106.70383883696759"
FB001,Pho 2000,F&B,3.6,"1-3 Phan Chu Trinh Street, Ben Thanh Ward, District 1, Ho Chi Minh City",A famous spot where former President Bill Clinton once dined.,"Phở 2000 gained fame when former U.S. President Bill Clinton dined there during his historic 2000 visit to Vietnam. Located near Ben Thanh Market, this no-frills eatery serves up an authentic bowl of pho, featuring both beef and chicken options. The simple yet clean interior proudly displays photos from the President’s visit. The broth is light yet flavorful, making it a favorite for locals and tourists alike. Though not a fancy spot, its quick service and delicious food keep customers returning. The prices are reasonable for the quality, making it a perfect place for a casual, satisfying meal. A visit to Phở 2000 offers both great food and a slice of history.","~₫40,000–₫60,000/bowl",img/pho-2000.jpg,6:00,22:00,"10.772781373025383, 106.69683415119852"
FB002,Nha Hang Ngon,F&B,4.3,"160 Pasteur Street, Ben Nghe Ward, District 1, Ho Chi Minh City",A classic restaurant serving traditional Vietnamese dishes.,"Nhà hàng Ngon brings together a variety of regional Vietnamese street food in a chic, colonial-style setting. Located on Pasteur Street in District 1, it’s a popular spot for both tourists and locals to sample dishes from all over Vietnam. The open kitchen lets diners watch chefs prepare everything from northern bun cha to southern hu tieu. The rustic wooden furnishings and antique decor create a warm, nostalgic atmosphere. The extensive menu allows you to try several dishes in one visit, offering a true taste of Vietnamese cuisine. Service is friendly and efficient, making it an excellent place for those new to the cuisine. It’s a culinary showcase of Vietnam under one roof.","~₫100,000–₫200,000/person",img/nha-hang-ngon.jpg,10:00,22:00,"10.777431597180907, 106.69966496269389"
FB003,Banh Mi Huynh Hoa,F&B,4.0,"26 Le Thi Rieng Street, Ben Thanh Ward, District 1, Ho Chi Minh City","Legendary bakery known for its huge, delicious bánh mì.","Bánh mì Huỳnh Hoa is renowned as Saigon's ""king of bánh mì,"" offering legendary sandwiches packed with flavorful ingredients. Located on Le Thi Rieng Street, the shop is always busy, with locals and tourists lining up for a taste. The bánh mì comes with layers of cold cuts, pâté, pickled vegetables, fresh herbs, and a spicy kick, all packed into perfectly crisp baguettes. The sandwiches are more than just a snack—they’re filling, satisfying meals. Though slightly more expensive than typical street food, the quality and taste make it worth the price. With minimal seating, most people take their sandwiches to-go, enjoying them on nearby benches. It’s an essential stop for anyone looking to experience Saigon's street food scene.","~₫30,000–₫50,000/sandwich",img/banh-mi-huynh-hoa.png,6:00,21:00,"10.771538258137092, 106.69239630471262"
FB004,The Workshop Coffee,F&B,4.8,"27 Ngo Duc Ke Street, Ben Nghe Ward, District 1, Ho Chi Minh City",A chic coffee shop perfect for remote work.,"The Workshop Coffee is a favorite among coffee lovers and remote workers, offering a cozy yet stylish space above a colonial building in downtown Saigon. The industrial-chic decor, with high ceilings and rustic wooden furniture, creates an inviting atmosphere. Baristas use pour-over, siphon, and espresso methods to craft each cup of coffee with precision and care. The open brewing bar lets guests watch the brewing process up close. There are also light bites and pastries available to complement the coffee. Large windows allow natural light to flood the space, offering a view of the bustling city below. The Workshop is a peaceful retreat, perfect for coffee enthusiasts and those seeking a quiet place to work or relax.","~₫50,000–₫100,000/drink",img/the-workshop-coffee.jpg,7:00,22:00,"10.773492596028692, 106.70560211593205"
FB005,Café de Saigon1982,F&B,5.0,"47 Nguyen Hue Street, Ben Nghe Ward, District 1, Ho Chi Minh City",A vintage-style cafe with great coffee and cozy vibes.,"Café de Saigon1982 is a nostalgic café that blends vintage Saigon charm with modern-day café culture. The interior, with its retro furniture and classic Vietnamese posters, feels like a step back in time. Soft oldies music adds to the warm, inviting ambiance, making it a perfect spot for relaxation or conversation. The menu features traditional Vietnamese beverages like cà phê sữa đá alongside creative fusion drinks. Light snacks and desserts are served in vintage dishware, adding to the old-school vibe. Both locals and visitors flock here to enjoy the cozy atmosphere and retro aesthetics. Café de Saigon1982 is not just a café, but a trip down memory lane, offering a unique and memorable experience.","~₫50,000–₫100,000/drink",img/cafe-de-saigon-1982.jpg,7:00,22:00,"10.789157041898187, 106.72051729737827"
FB006,Bun Rieu Ganh,F&B,4.0,"4 Phan Boi Chau Street, Ben Thanh Ward, District 1, Ho Chi Minh City",A humble stall famous for its flavorful crab noodle soup.,"Bún Riêu Gánh is a beloved roadside eatery serving one of Saigon’s most flavorful noodle soups, made with a rich crab-based broth. Known for its tangy and aromatic soup, each bowl is filled with crab, tofu, tomato chunks, and fresh herbs, served over firm vermicelli noodles. Despite its humble, no-frills setting, the place is always crowded with loyal customers. The small stools and fast service create an authentic, local dining experience. The broth is freshest in the morning or late afternoon, making it the ideal time to enjoy the dish. The bustling street environment adds to the charm, providing a true slice of Saigon’s culinary culture. For a taste of real local flavor, Bún Riêu Gánh is a must-visit spot.","~₫50,000–₫80,000/bowl",img/bun-rieu-ganh.jpg,6:00,21:00,"10.773954126653559, 106.6989505018455"
FB007,Bun Rieu Nguyen Canh Chan,F&B,4.2,"18 Nguyen Canh Chan Street, Cau Kho Ward, District 1, Ho Chi Minh City",A must-visit spot for authentic crab noodle lovers.,"Tucked away on Nguyễn Cảnh Chân Street, this hidden gem specializes in hearty, crab-based noodle soup. The rich, savory broth is slightly sour and packed with umami, balanced perfectly with tender tofu, fresh tomato slices, and fluffy crab patties. Topped with aromatic herbs, banana blossom, and a touch of chili oil, the dish is a vibrant mix of textures and flavors. The modest setting offers quick and friendly service, making it a great spot for locals seeking a satisfying, casual meal. Generous portions and wallet-friendly prices ensure it’s a favorite for anyone craving authentic Saigon comfort food. This is the kind of place where one bite will make you a regular.","~₫50,000–₫80,000/bowl",img/bun-rieu-nguyen-canh-chan.jpeg,6:00,21:00,"10.757959270546952, 106.68875996787892"
FB008,Singapore Frog Porridge Tan Dinh,F&B,4.3,"100 Tran Quang Khai Street, Tan Dinh Ward, District 1, Ho Chi Minh City",Singapore-style frog porridge with rich flavors.,"At Cháo Ếch Singapore Tân Định, you can experience a unique cross-cultural culinary adventure with their signature Singapore-style frog porridge. The dish features tender frog legs cooked in a rich, spicy soy sauce, paired with silky, creamy rice porridge. The bold, aromatic flavors are unlike typical Vietnamese fare, making this a standout spot for adventurous eaters. Located near Tan Dinh Market, the cozy restaurant attracts foodies looking for something different. The quick service and generous portions add to the appeal. If you're in the mood for something new and exciting, this place is a must-try for its distinctive, flavorful dish.","~₫80,000–₫120,000/portion",img/chao-ech-singapore-tan-dinh.jpg,6:00,21:00,"10.78957033538437, 106.69003668478365"
FB009,Banh Mi Bui Thi Xuan,F&B,4.2,"39 Bui Thi Xuan Street, Ben Thanh Ward, District 1, Ho Chi Minh City",Crispy bánh mì sandwiches at a popular local spot.,"Bánh mì Bùi Thị Xuân is a hidden gem where you can enjoy one of the finest bánh mì in Saigon. Located on a busy street, this no-frills spot is known for its perfectly crisp baguettes filled with a generous mix of grilled pork, pickled vegetables, fresh herbs, and pâté. What sets it apart is the attention to detail—each sandwich is carefully prepared to create a harmonious balance of flavors. Locals flock here during lunch rushes, and the high-quality ingredients and savory fillings make it well worth the wait. This place isn’t just a snack; it’s an experience, offering an authentic, mouthwatering take on the beloved Vietnamese sandwich.","~₫30,000–₫50,000/sandwich",img/banh-mi-bui-thi-xuan.png,6:00,21:00,"10.76990234809769, 106.68822340127019"
FB010,Dim Tu Tac,F&B,4.4,"55 Dong Du Street, Ben Nghe Ward, District 1, Ho Chi Minh City",Dim sum and Chinese dishes served in a fine dining style.,"Dim Tu Tac is a beloved destination for fans of authentic Cantonese cuisine in Ho Chi Minh City. Known for its delicate dim sum and flavorful Chinese dishes, the restaurant offers a warm and elegant ambiance, perfect for family meals or business gatherings. Signature dishes include juicy dumplings, crispy roast duck, and fragrant fried rice, all made with fresh, high-quality ingredients. The elegant decor features Chinese cultural touches, and the service is attentive and knowledgeable. Dim Tu Tac has multiple locations around the city, maintaining a reputation for excellence. Whether you’re in the mood for dim sum or a full feast, this restaurant delivers a memorable dining experience.","~₫100,000–₫200,000/person",img/dim-tu-tac.jpg,10:00,22:00,"10.77574810310914, 106.70467887744768"
